run_id,start_ts,end_ts,status,source,records_read,records_written,duplicates_removed,watermark_before,watermark_after,error_message,,
eccf7fd2-d95a-4716-936f-ac2c616bf533,2026-09-12T13:10:09.868479+00:00,2026-09-12T13:10:09.879167+00:00,SUCCESS,files,3,0,3,,,,,
39705cd2-1a66-4d1d-bbe2-10dc33bec6a9,2026-09-12T13:10:09.882876+00:00,2026-09-12T13:10:09.904639+00:00,SUCCESS,api,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,,,
22e380e0-15a8-43d2-8f8f-6a38768368f5,2026-09-12T13:11:26.731099+00:00,2026-09-12T13:11:26.740597+00:00,SUCCESS,files,3,0,3,,,,,
c17aafa3-3de2-4dc8-974e-82d8956c49cc,2026-09-12T13:11:26.744643+00:00,2026-09-12T13:11:26.765984+00:00,SUCCESS,api,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,,,
4d9fc9af-2d3f-4e99-bc0d-c6848640c90d,2026-09-12T13:25:51.657290+00:00,2026-09-12T13:25:51.664932+00:00,SUCCESS,files,3,0,3,,,,,
de900421-3fa5-444a-82ab-d2380af33e10,2026-09-12T13:25:51.666763+00:00,2026-09-12T13:25:51.680718+00:00,SUCCESS,api,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,,,
b2e0547f-bc3a-41d9-96e9-e462bc8bcdbe,2026-09-12T13:26:08.043129+00:00,2026-09-12T13:26:08.050934+00:00,SUCCESS,files,3,0,3,,,,,
f03c2827-7768-44d7-b899-04595ad4d44f,2026-09-12T13:26:08.051848+00:00,2026-09-12T13:26:08.065135+00:00,SUCCESS,api,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,,,
ab6697b4-da84-4d28-b769-cb176e54818a,2026-09-12T13:34:49.689377+00:00,2026-09-12T13:34:49.714046+00:00,SUCCESS,files,3,3,0,,,,,
ba5be4bc-f17e-4014-88a7-cfa6c1a4a5b6,2026-09-12T13:34:49.715593+00:00,2026-09-12T13:34:49.780256+00:00,SUCCESS,api,122,120,0,,2026-08-21T10:00:00,,,
b4c76d95-9bf9-4e28-874a-4981a1af78d6,2026-09-12T13:34:59.059088+00:00,2026-09-12T13:34:59.075060+00:00,SUCCESS,files,3,0,3,,,,,
fbce5147-55f9-4077-a065-1a1f2cd3c5c7,2026-09-12T13:34:59.077628+00:00,2026-09-12T13:34:59.092645+00:00,SUCCESS,api,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,,,
804f5d02-6eda-4dac-9065-b47b287d3a7a,2026-09-12T13:41:01.558710+00:00,2026-09-12T13:41:01.600517+00:00,SUCCESS,files,3,0,3,,,,,
c82e7d48-0058-4bce-80a9-616e7867f353,2026-09-12T13:41:01.601427+00:00,2026-09-12T13:41:03.646165+00:00,FAILURE,api,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,HTTPConnectionPool(host='127.0.0.1'," port=8000): Max retries exceeded with url: /api/events?page=1&per_page=20&updated_after=2026-08-21T10%3A00%3A00 (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1'"," port=8000): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))"
6f94e742-1a8b-46bc-8cc8-680f44945407,2026-09-12T13:42:26.079267+00:00,2026-09-12T13:42:26.083884+00:00,SUCCESS,files,3,0,3,,,,,
1f25566a-af36-4b75-825c-945331d38508,2026-09-12T13:42:26.084672+00:00,2026-09-12T13:42:28.142710+00:00,FAILURE,api,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,HTTPConnectionPool(host='127.0.0.1'," port=8000): Max retries exceeded with url: /api/events?page=1&per_page=20&updated_after=2026-08-21T10%3A00%3A00 (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1'"," port=8000): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))"
d37a44db-bedc-437e-9798-36fa4ae9b971,2026-09-12T13:44:10.672151+00:00,2026-09-12T13:44:10.680321+00:00,SUCCESS,files,3,0,3,,,,,
3902ae91-8251-483e-a822-ee04066655f4,2026-09-12T13:44:10.681496+00:00,2026-09-12T13:44:12.743981+00:00,FAILURE,api,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,HTTPConnectionPool(host='127.0.0.1'," port=8000): Max retries exceeded with url: /api/events?page=1&per_page=20&updated_after=2026-08-21T10%3A00%3A00 (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1'"," port=8000): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))"
b2ed1b0c-2faa-44d3-ab1f-5465f29c358c,2026-09-12T13:52:03.294601+00:00,2026-09-12T13:52:03.308570+00:00,SUCCESS,files,3,3,0,,,,,
9c7b2cc9-3d6c-4bdc-9770-9389c510963e,2026-09-12T13:52:03.309429+00:00,2026-09-12T13:52:05.336485+00:00,FAILURE,api,0,0,0,,,HTTPConnectionPool(host='127.0.0.1'," port=8000): Max retries exceeded with url: /api/events?page=1&per_page=20 (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1'"," port=8000): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))"
bc9b61d5-2083-470d-be1b-207748b81b9c,2026-09-12T13:53:45.433167+00:00,2026-09-12T13:53:45.450801+00:00,SUCCESS,files,3,3,0,,,,,
5c1d888d-3029-4e85-9bcf-660146a4f5a8,2026-09-12T13:53:45.452375+00:00,2026-09-12T13:53:45.531204+00:00,SUCCESS,api,122,120,0,,2026-08-21T10:00:00,,,
2c98b427-56b9-4d3d-b445-c167d720579a,2026-09-12T13:59:25.194051+00:00,2026-09-12T13:59:25.213110+00:00,SUCCESS,files,3,0,3,,,,,
629d8f49-bb67-4fb2-9956-d8f7f753a53e,2026-09-12T13:59:25.214297+00:00,2026-09-12T13:59:25.239152+00:00,SUCCESS,api,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,,,
4a548ddb-ecd6-4ad5-b669-86bfefa538a4,2026-09-12T14:01:33.088111+00:00,2026-09-12T14:01:33.093119+00:00,SUCCESS,files,3,0,3,,,,,
6846864f-65f2-4918-a4b6-ecf64888e647,2026-09-12T14:01:33.093860+00:00,2026-09-12T14:01:35.147871+00:00,FAILURE,api,0,0,0,2026-08-21T10:00:00,2026-08-21T10:00:00,HTTPConnectionPool(host='127.0.0.1'," port=8000): Max retries exceeded with url: /api/events?page=1&per_page=20&updated_after=2026-08-21T10%3A00%3A00 (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1'"," port=8000): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))"
8286c850-2ba7-476d-8619-261558c2379f,2026-09-12T14:06:44.991633+00:00,2026-09-12T14:06:45.024681+00:00,SUCCESS,files,3,0,3,,,,,
